員工編號,員工姓名,職位,到職日,薪資,獎金,部門編號,部門名稱
1,king,president,1981-11-17,,0.0,10,財務部
2,blake,manager,1981-05-01,,0.0,30,業務部
3,clark,manager,1981-01-09,,0.0,10,財務部
4,jones,manager,1981-04-02,,0.0,20,研發部
5,martin,salesman,1981-09-28,,1400.0,30,業務部
6,allen,salesman,1981-02-02,,300.0,30,業務部
7,turner,salesman,1981-09-28,,0.0,30,業務部
8,james,clerk,1981-12-03,,0.0,30,業務部
9,ward,salesman,1981-02-22,,500.0,30,業務部
10,ford,analyst,1981-12-03,,0.0,20,研發部
11,smith,clerk,1980-12-17,,0.0,20,研發部
12,scott,analyst,1981-12-09,,0.0,20,研發部
13,adams,clerk,1983-01-12,,0.0,20,研發部
14,miller,clerk,1982-01-23,,0.0,10,財務部
